instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,weathersit_day,temp_day,atemp_day,hum_day,windspeed_day,casual_day,registered_day,cnt_day
41,2011-01-02,winter,2011,January,17,no,sunday,no,1,13.940000000000001,16.665,56.99999999999999,19.400000000000002,7,58,65,2,14.902598000000001,17.686950000000003,69.6087,24.8539,131,670,801
42,2011-01-02,winter,2011,January,18,no,sunday,no,2,14.76,16.665,46.0,32.84,10,43,53,2,14.902598000000001,17.686950000000003,69.6087,24.8539,131,670,801
43,2011-01-02,winter,2011,January,19,no,sunday,no,1,13.120000000000001,14.395,42.0,44.78,1,29,30,2,14.902598000000001,17.686950000000003,69.6087,24.8539,131,670,801
44,2011-01-02,winter,2011,January,20,no,sunday,no,1,12.299999999999999,13.635,39.0,35.82,5,17,22,2,14.902598000000001,17.686950000000003,69.6087,24.8539,131,670,801
45,2011-01-02,winter,2011,January,21,no,sunday,no,1,10.66,11.365,44.0,32.84,11,20,31,2,14.902598000000001,17.686950000000003,69.6087,24.8539,131,670,801
46,2011-01-02,winter,2011,January,22,no,sunday,no,1,9.84,10.605,44.0,29.849999999999998,0,9,9,2,14.902598000000001,17.686950000000003,69.6087,24.8539,131,670,801
47,2011-01-02,winter,2011,January,23,no,sunday,no,1,9.02,11.365,47.0,16.42,0,8,8,2,14.902598000000001,17.686950000000003,69.6087,24.8539,131,670,801
48,2011-01-03,winter,2011,January,0,no,monday,yes,1,9.02,9.85,44.0,35.82,0,5,5,1,8.050924,9.47025,43.7273,24.8309,120,1229,1349
49,2011-01-03,winter,2011,January,1,no,monday,yes,1,8.200000000000001,8.334999999999999,44.0,41.79,0,2,2,1,8.050924,9.47025,43.7273,24.8309,120,1229,1349
50,2011-01-03,winter,2011,January,4,no,monday,yes,1,6.5600000000000005,6.819999999999999,47.0,38.81,0,1,1,1,8.050924,9.47025,43.7273,24.8309,120,1229,1349
51,2011-01-03,winter,2011,January,5,no,monday,yes,1,6.5600000000000005,6.819999999999999,47.0,28.360000000000003,0,3,3,1,8.050924,9.47025,43.7273,24.8309,120,1229,1349
52,2011-01-03,winter,2011,January,6,no,monday,yes,1,5.74,5.305,50.0,38.81,0,30,30,1,8.050924,9.47025,43.7273,24.8309,120,1229,1349
53,2011-01-03,winter,2011,January,7,no,monday,yes,1,5.74,6.819999999999999,50.0,19.400000000000002,1,63,64,1,8.050924,9.47025,43.7273,24.8309,120,1229,1349
54,2011-01-03,winter,2011,January,8,no,monday,yes,1,5.74,6.0600000000000005,50.0,28.360000000000003,1,153,154,1,8.050924,9.47025,43.7273,24.8309,120,1229,1349
55,2011-01-03,winter,2011,January,9,no,monday,yes,1,6.5600000000000005,6.819999999999999,43.0,38.81,7,81,88,1,8.050924,9.47025,43.7273,24.8309,120,1229,1349
56,2011-01-03,winter,2011,January,10,no,monday,yes,1,7.38,8.334999999999999,43.0,25.369999999999997,11,33,44,1,8.050924,9.47025,43.7273,24.8309,120,1229,1349
57,2011-01-03,winter,2011,January,11,no,monday,yes,1,8.200000000000001,9.09,40.0,32.84,10,41,51,1,8.050924,9.47025,43.7273,24.8309,120,1229,1349
58,2011-01-03,winter,2011,January,12,no,monday,yes,1,9.02,10.605,35.0,29.849999999999998,13,48,61,1,8.050924,9.47025,43.7273,24.8309,120,1229,1349
59,2011-01-03,winter,2011,January,13,no,monday,yes,1,9.84,10.605,35.0,28.360000000000003,8,53,61,1,8.050924,9.47025,43.7273,24.8309,120,1229,1349
60,2011-01-03,winter,2011,January,14,no,monday,yes,1,10.66,12.120000000000001,30.0,28.360000000000003,11,66,77,1,8.050924,9.47025,43.7273,24.8309,120,1229,1349
61,2011-01-03,winter,2011,January,15,no,monday,yes,1,10.66,12.120000000000001,30.0,25.369999999999997,14,58,72,1,8.050924,9.47025,43.7273,24.8309,120,1229,1349
62,2011-01-03,winter,2011,January,16,no,monday,yes,1,10.66,12.120000000000001,30.0,25.369999999999997,9,67,76,1,8.050924,9.47025,43.7273,24.8309,120,1229,1349
63,2011-01-03,winter,2011,January,17,no,monday,yes,1,9.84,11.365,30.0,22.39,11,146,157,1,8.050924,9.47025,43.7273,24.8309,120,1229,1349
64,2011-01-03,winter,2011,January,18,no,monday,yes,1,9.84,12.879999999999999,32.0,10.45,9,148,157,1,8.050924,9.47025,43.7273,24.8309,120,1229,1349
65,2011-01-03,winter,2011,January,19,no,monday,yes,1,8.200000000000001,12.879999999999999,47.0,0.0,8,102,110,1,8.050924,9.47025,43.7273,24.8309,120,1229,1349
66,2011-01-03,winter,2011,January,20,no,monday,yes,1,8.200000000000001,11.365,47.0,10.45,3,49,52,1,8.050924,9.47025,43.7273,24.8309,120,1229,1349
67,2011-01-03,winter,2011,January,21,no,monday,yes,1,7.38,9.85,64.0,13.43,3,49,52,1,8.050924,9.47025,43.7273,24.8309,120,1229,1349
68,2011-01-03,winter,2011,January,22,no,monday,yes,1,5.74,7.575,69.0,13.43,0,20,20,1,8.050924,9.47025,43.7273,24.8309,120,1229,1349
69,2011-01-03,winter,2011,January,23,no,monday,yes,1,7.38,10.605,55.00000000000001,10.45,1,11,12,1,8.050924,9.47025,43.7273,24.8309,120,1229,1349
70,2011-01-04,winter,2011,January,0,no,tuesday,yes,1,6.5600000000000005,9.09,55.00000000000001,10.45,0,5,5,1,8.200000000000001,10.6061,59.0435,16.0296,108,1454,1562
71,2011-01-04,winter,2011,January,1,no,tuesday,yes,1,6.5600000000000005,9.09,59.0,10.45,0,2,2,1,8.200000000000001,10.6061,59.0435,16.0296,108,1454,1562
72,2011-01-04,winter,2011,January,2,no,tuesday,yes,1,5.74,7.575,63.0,13.43,0,1,1,1,8.200000000000001,10.6061,59.0435,16.0296,108,1454,1562
73,2011-01-04,winter,2011,January,4,no,tuesday,yes,1,5.74,9.09,63.0,8.959999999999999,0,2,2,1,8.200000000000001,10.6061,59.0435,16.0296,108,1454,1562
74,2011-01-04,winter,2011,January,5,no,tuesday,yes,1,4.92,7.575,68.0,10.45,0,4,4,1,8.200000000000001,10.6061,59.0435,16.0296,108,1454,1562
75,2011-01-04,winter,2011,January,6,no,tuesday,yes,1,4.92,7.575,74.0,10.45,0,36,36,1,8.200000000000001,10.6061,59.0435,16.0296,108,1454,1562
76,2011-01-04,winter,2011,January,7,no,tuesday,yes,1,4.92,7.575,74.0,13.43,2,92,94,1,8.200000000000001,10.6061,59.0435,16.0296,108,1454,1562
77,2011-01-04,winter,2011,January,8,no,tuesday,yes,1,5.74,7.575,69.0,16.42,2,177,179,1,8.200000000000001,10.6061,59.0435,16.0296,108,1454,1562
78,2011-01-04,winter,2011,January,9,no,tuesday,yes,1,6.5600000000000005,7.575,64.0,22.39,2,98,100,1,8.200000000000001,10.6061,59.0435,16.0296,108,1454,1562
79,2011-01-04,winter,2011,January,10,no,tuesday,yes,2,6.5600000000000005,6.819999999999999,69.0,32.84,5,37,42,1,8.200000000000001,10.6061,59.0435,16.0296,108,1454,1562
80,2011-01-04,winter,2011,January,11,no,tuesday,yes,1,9.02,10.605,51.0,29.849999999999998,7,50,57,1,8.200000000000001,10.6061,59.0435,16.0296,108,1454,1562
81,2011-01-04,winter,2011,January,12,no,tuesday,yes,1,9.02,11.365,51.0,16.42,12,66,78,1,8.200000000000001,10.6061,59.0435,16.0296,108,1454,1562
82,2011-01-04,winter,2011,January,13,no,tuesday,yes,1,9.84,11.365,56.00000000000001,19.400000000000002,18,79,97,1,8.200000000000001,10.6061,59.0435,16.0296,108,1454,1562
83,2011-01-04,winter,2011,January,14,no,tuesday,yes,1,10.66,12.879999999999999,52.0,22.39,9,54,63,1,8.200000000000001,10.6061,59.0435,16.0296,108,1454,1562
84,2011-01-04,winter,2011,January,15,no,tuesday,yes,1,11.48,13.635,52.0,25.369999999999997,17,48,65,1,8.200000000000001,10.6061,59.0435,16.0296,108,1454,1562
85,2011-01-04,winter,2011,January,16,no,tuesday,yes,1,12.299999999999999,14.395,49.0,25.369999999999997,15,68,83,1,8.200000000000001,10.6061,59.0435,16.0296,108,1454,1562
86,2011-01-04,winter,2011,January,17,no,tuesday,yes,1,11.48,13.635,48.0,22.39,10,202,212,1,8.200000000000001,10.6061,59.0435,16.0296,108,1454,1562
87,2011-01-04,winter,2011,January,18,no,tuesday,yes,1,10.66,12.879999999999999,48.0,19.400000000000002,3,179,182,1,8.200000000000001,10.6061,59.0435,16.0296,108,1454,1562
88,2011-01-04,winter,2011,January,19,no,tuesday,yes,1,9.84,12.879999999999999,48.0,10.45,2,110,112,1,8.200000000000001,10.6061,59.0435,16.0296,108,1454,1562
89,2011-01-04,winter,2011,January,20,no,tuesday,yes,1,9.84,12.879999999999999,48.0,10.45,1,53,54,1,8.200000000000001,10.6061,59.0435,16.0296,108,1454,1562
90,2011-01-04,winter,2011,January,21,no,tuesday,yes,1,9.02,13.635,64.0,0.0,0,48,48,1,8.200000000000001,10.6061,59.0435,16.0296,108,1454,1562
91,2011-01-04,winter,2011,January,22,no,tuesday,yes,1,9.02,12.879999999999999,64.0,8.959999999999999,1,34,35,1,8.200000000000001,10.6061,59.0435,16.0296,108,1454,1562
92,2011-01-04,winter,2011,January,23,no,tuesday,yes,1,8.200000000000001,11.365,69.0,8.959999999999999,2,9,11,1,8.200000000000001,10.6061,59.0435,16.0296,108,1454,1562
93,2011-01-05,winter,2011,January,0,no,wednesday,yes,1,8.200000000000001,12.879999999999999,64.0,0.0,0,6,6,1,9.305237,11.4635,43.695699999999995,18.69,82,1518,1600
94,2011-01-05,winter,2011,January,1,no,wednesday,yes,1,6.5600000000000005,9.85,74.0,8.959999999999999,0,6,6,1,9.305237,11.4635,43.695699999999995,18.69,82,1518,1600
95,2011-01-05,winter,2011,January,2,no,wednesday,yes,1,6.5600000000000005,9.85,74.0,8.959999999999999,0,2,2,1,9.305237,11.4635,43.695699999999995,18.69,82,1518,1600
96,2011-01-05,winter,2011,January,4,no,wednesday,yes,1,9.84,11.365,48.0,22.39,0,2,2,1,9.305237,11.4635,43.695699999999995,18.69,82,1518,1600
97,2011-01-05,winter,2011,January,5,no,wednesday,yes,1,9.02,11.365,47.0,16.42,0,3,3,1,9.305237,11.4635,43.695699999999995,18.69,82,1518,1600
98,2011-01-05,winter,2011,January,6,no,wednesday,yes,1,8.200000000000001,9.85,47.0,22.39,0,33,33,1,9.305237,11.4635,43.695699999999995,18.69,82,1518,1600
99,2011-01-05,winter,2011,January,7,no,wednesday,yes,1,7.38,9.09,43.0,19.400000000000002,1,87,88,1,9.305237,11.4635,43.695699999999995,18.69,82,1518,1600
100,2011-01-05,winter,2011,January,8,no,wednesday,yes,1,8.200000000000001,9.09,40.0,29.849999999999998,3,192,195,1,9.305237,11.4635,43.695699999999995,18.69,82,1518,1600
101,2011-01-05,winter,2011,January,9,no,wednesday,yes,1,9.02,9.85,37.0,32.84,6,109,115,1,9.305237,11.4635,43.695699999999995,18.69,82,1518,1600
102,2011-01-05,winter,2011,January,10,no,wednesday,yes,1,9.02,9.85,37.0,32.84,4,53,57,1,9.305237,11.4635,43.695699999999995,18.69,82,1518,1600
103,2011-01-05,winter,2011,January,11,no,wednesday,yes,1,10.66,11.365,33.0,32.84,12,34,46,1,9.305237,11.4635,43.695699999999995,18.69,82,1518,1600
104,2011-01-05,winter,2011,January,12,no,wednesday,yes,1,10.66,11.365,33.0,32.84,5,74,79,1,9.305237,11.4635,43.695699999999995,18.69,82,1518,1600
105,2011-01-05,winter,2011,January,13,no,wednesday,yes,1,11.48,12.879999999999999,30.0,29.849999999999998,6,65,71,1,9.305237,11.4635,43.695699999999995,18.69,82,1518,1600
106,2011-01-05,winter,2011,January,14,no,wednesday,yes,1,12.299999999999999,14.395,28.000000000000004,19.400000000000002,10,52,62,1,9.305237,11.4635,43.695699999999995,18.69,82,1518,1600
107,2011-01-05,winter,2011,January,15,no,wednesday,yes,1,12.299999999999999,14.395,28.000000000000004,19.400000000000002,7,55,62,1,9.305237,11.4635,43.695699999999995,18.69,82,1518,1600
108,2011-01-05,winter,2011,January,16,no,wednesday,yes,1,12.299999999999999,15.909999999999998,28.000000000000004,8.959999999999999,4,85,89,1,9.305237,11.4635,43.695699999999995,18.69,82,1518,1600
109,2011-01-05,winter,2011,January,17,no,wednesday,yes,1,9.84,11.365,38.0,19.400000000000002,4,186,190,1,9.305237,11.4635,43.695699999999995,18.69,82,1518,1600
110,2011-01-05,winter,2011,January,18,no,wednesday,yes,1,9.84,12.120000000000001,38.0,13.43,3,166,169,1,9.305237,11.4635,43.695699999999995,18.69,82,1518,1600
111,2011-01-05,winter,2011,January,19,no,wednesday,yes,1,9.84,12.879999999999999,38.0,10.45,5,127,132,1,9.305237,11.4635,43.695699999999995,18.69,82,1518,1600
112,2011-01-05,winter,2011,January,20,no,wednesday,yes,1,9.02,11.365,47.0,16.42,7,82,89,1,9.305237,11.4635,43.695699999999995,18.69,82,1518,1600
113,2011-01-05,winter,2011,January,21,no,wednesday,yes,1,8.200000000000001,9.85,51.0,19.400000000000002,3,40,43,1,9.305237,11.4635,43.695699999999995,18.69,82,1518,1600
114,2011-01-05,winter,2011,January,22,no,wednesday,yes,1,7.38,9.85,55.00000000000001,13.43,1,41,42,1,9.305237,11.4635,43.695699999999995,18.69,82,1518,1600
115,2011-01-05,winter,2011,January,23,no,wednesday,yes,1,8.200000000000001,12.879999999999999,47.0,0.0,1,18,19,1,9.305237,11.4635,43.695699999999995,18.69,82,1518,1600
116,2011-01-06,winter,2011,January,0,no,thursday,yes,1,7.38,12.120000000000001,55.00000000000001,0.0,0,11,11,1,8.378268,11.66045,51.8261,8.95652,88,1518,1606
117,2011-01-06,winter,2011,January,1,no,thursday,yes,1,6.5600000000000005,11.365,64.0,0.0,0,4,4,1,8.378268,11.66045,51.8261,8.95652,88,1518,1606
118,2011-01-06,winter,2011,January,2,no,thursday,yes,1,6.5600000000000005,11.365,64.0,0.0,0,2,2,1,8.378268,11.66045,51.8261,8.95652,88,1518,1606
119,2011-01-06,winter,2011,January,4,no,thursday,yes,2,6.5600000000000005,9.85,64.0,8.959999999999999,0,1,1,1,8.378268,11.66045,51.8261,8.95652,88,1518,1606
120,2011-01-06,winter,2011,January,5,no,thursday,yes,2,5.74,9.09,69.0,8.959999999999999,0,4,4,1,8.378268,11.66045,51.8261,8.95652,88,1518,1606
121,2011-01-06,winter,2011,January,6,no,thursday,yes,2,5.74,8.334999999999999,63.0,10.45,0,36,36,1,8.378268,11.66045,51.8261,8.95652,88,1518,1606
122,2011-01-06,winter,2011,January,7,no,thursday,yes,2,6.5600000000000005,11.365,59.0,0.0,0,95,95,1,8.378268,11.66045,51.8261,8.95652,88,1518,1606
123,2011-01-06,winter,2011,January,8,no,thursday,yes,1,6.5600000000000005,11.365,59.0,0.0,3,216,219,1,8.378268,11.66045,51.8261,8.95652,88,1518,1606
124,2011-01-06,winter,2011,January,9,no,thursday,yes,2,7.38,12.120000000000001,51.0,0.0,6,116,122,1,8.378268,11.66045,51.8261,8.95652,88,1518,1606
125,2011-01-06,winter,2011,January,10,no,thursday,yes,1,8.200000000000001,12.879999999999999,47.0,0.0,3,42,45,1,8.378268,11.66045,51.8261,8.95652,88,1518,1606
126,2011-01-06,winter,2011,January,11,no,thursday,yes,1,9.02,12.879999999999999,44.0,8.959999999999999,2,57,59,1,8.378268,11.66045,51.8261,8.95652,88,1518,1606
127,2011-01-06,winter,2011,January,12,no,thursday,yes,1,10.66,14.395,35.0,0.0,6,78,84,1,8.378268,11.66045,51.8261,8.95652,88,1518,1606
128,2011-01-06,winter,2011,January,13,no,thursday,yes,1,10.66,13.635,35.0,10.45,12,55,67,1,8.378268,11.66045,51.8261,8.95652,88,1518,1606
129,2011-01-06,winter,2011,January,14,no,thursday,yes,1,11.48,13.635,36.0,16.42,11,59,70,1,8.378268,11.66045,51.8261,8.95652,88,1518,1606
130,2011-01-06,winter,2011,January,15,no,thursday,yes,1,11.48,13.635,36.0,0.0,8,54,62,1,8.378268,11.66045,51.8261,8.95652,88,1518,1606
131,2011-01-06,winter,2011,January,16,no,thursday,yes,1,10.66,12.879999999999999,38.0,16.42,12,74,86,1,8.378268,11.66045,51.8261,8.95652,88,1518,1606
132,2011-01-06,winter,2011,January,17,no,thursday,yes,1,9.02,11.365,51.0,16.42,9,163,172,1,8.378268,11.66045,51.8261,8.95652,88,1518,1606
133,2011-01-06,winter,2011,January,18,no,thursday,yes,1,9.02,11.365,51.0,13.43,5,158,163,1,8.378268,11.66045,51.8261,8.95652,88,1518,1606
134,2011-01-06,winter,2011,January,19,no,thursday,yes,1,9.02,12.879999999999999,55.00000000000001,8.959999999999999,3,109,112,1,8.378268,11.66045,51.8261,8.95652,88,1518,1606
135,2011-01-06,winter,2011,January,20,no,thursday,yes,1,8.200000000000001,10.605,51.0,16.42,3,66,69,1,8.378268,11.66045,51.8261,8.95652,88,1518,1606
136,2011-01-06,winter,2011,January,21,no,thursday,yes,2,9.02,10.605,55.00000000000001,22.39,0,48,48,1,8.378268,11.66045,51.8261,8.95652,88,1518,1606
137,2011-01-06,winter,2011,January,22,no,thursday,yes,2,9.02,10.605,51.0,28.360000000000003,1,51,52,1,8.378268,11.66045,51.8261,8.95652,88,1518,1606
138,2011-01-06,winter,2011,January,23,no,thursday,yes,2,8.200000000000001,9.85,59.0,19.400000000000002,4,19,23,1,8.378268,11.66045,51.8261,8.95652,88,1518,1606
139,2011-01-07,winter,2011,January,0,no,friday,yes,2,8.200000000000001,9.85,64.0,19.400000000000002,4,13,17,2,8.057402,10.44195,49.8696,16.8726,148,1362,1510
140,2011-01-07,winter,2011,January,1,no,friday,yes,2,8.200000000000001,9.85,69.0,22.39,2,5,7,2,8.057402,10.44195,49.8696,16.8726,148,1362,1510
141,2011-01-07,winter,2011,January,2,no,friday,yes,2,8.200000000000001,9.85,69.0,22.39,0,1,1,2,8.057402,10.44195,49.8696,16.8726,148,1362,1510
142,2011-01-07,winter,2011,January,4,no,friday,yes,2,8.200000000000001,10.605,69.0,13.43,0,1,1,2,8.057402,10.44195,49.8696,16.8726,148,1362,1510
143,2011-01-07,winter,2011,January,5,no,friday,yes,3,9.02,13.635,55.00000000000001,0.0,0,5,5,2,8.057402,10.44195,49.8696,16.8726,148,1362,1510
144,2011-01-07,winter,2011,January,6,no,friday,yes,2,8.200000000000001,12.879999999999999,69.0,0.0,8,26,34,2,8.057402,10.44195,49.8696,16.8726,148,1362,1510
145,2011-01-07,winter,2011,January,7,no,friday,yes,1,8.200000000000001,10.605,69.0,13.43,8,76,84,2,8.057402,10.44195,49.8696,16.8726,148,1362,1510
146,2011-01-07,winter,2011,January,8,no,friday,yes,1,8.200000000000001,9.85,51.0,25.369999999999997,20,190,210,2,8.057402,10.44195,49.8696,16.8726,148,1362,1510
147,2011-01-07,winter,2011,January,9,no,friday,yes,1,8.200000000000001,9.09,47.0,29.849999999999998,9,125,134,2,8.057402,10.44195,49.8696,16.8726,148,1362,1510
148,2011-01-07,winter,2011,January,10,no,friday,yes,1,9.02,9.85,37.0,32.84,16,47,63,2,8.057402,10.44195,49.8696,16.8726,148,1362,1510
149,2011-01-07,winter,2011,January,11,no,friday,yes,2,8.200000000000001,9.85,40.0,22.39,19,48,67,2,8.057402,10.44195,49.8696,16.8726,148,1362,1510
150,2011-01-07,winter,2011,January,12,no,friday,yes,2,8.200000000000001,9.85,37.0,25.369999999999997,9,50,59,2,8.057402,10.44195,49.8696,16.8726,148,1362,1510
151,2011-01-07,winter,2011,January,13,no,friday,yes,2,8.200000000000001,9.09,37.0,28.360000000000003,9,64,73,2,8.057402,10.44195,49.8696,16.8726,148,1362,1510
152,2011-01-07,winter,2011,January,14,no,friday,yes,2,8.200000000000001,9.85,40.0,25.369999999999997,7,43,50,2,8.057402,10.44195,49.8696,16.8726,148,1362,1510
153,2011-01-07,winter,2011,January,15,no,friday,yes,2,8.200000000000001,10.605,37.0,16.42,9,63,72,2,8.057402,10.44195,49.8696,16.8726,148,1362,1510
154,2011-01-07,winter,2011,January,16,no,friday,yes,2,8.200000000000001,10.605,37.0,16.42,5,82,87,2,8.057402,10.44195,49.8696,16.8726,148,1362,1510
155,2011-01-07,winter,2011,January,17,no,friday,yes,2,8.200000000000001,12.879999999999999,37.0,0.0,9,178,187,2,8.057402,10.44195,49.8696,16.8726,148,1362,1510
156,2011-01-07,winter,2011,January,18,no,friday,yes,1,8.200000000000001,11.365,40.0,8.959999999999999,7,116,123,2,8.057402,10.44195,49.8696,16.8726,148,1362,1510
